Nomor Induk Mahasiswa (NIM),Timestamp,Program Studi,Saran
41,6/26/2024 17:45:30,Matematika,apa telah kerja dunia kerja teori apa telah ajar sangat banyak tidak pakai alangkah lebih baik banyak case study mahasiswa lebih mudah sesuai dunia kerja nanti walaupun mahasiswa lanjut jenjang magister lebih tinggi case study sangat bantu paham materi
45,6/26/2024 18:31:01,Matematika,seluruh prodi buka paska sarjana
50,6/26/2024 19:01:44,Matematika,tingkat kerjasama industri
51,6/26/2024 19:03:11,Agribisnis S2,sesuai kurikulum jalan kembang agribisnis tetap mencatumkan agribisnis syariah
53,6/26/2024 19:10:26,Agribisnis S2,moga fakultas sains tekonologi universitas islam negerimenghasilkan lulus handal jauh lebih profesional metode kembang kurikulum bas teknologi tani
61,6/26/2024 19:52:44,Matematika,sekarang sistem nya lebih baik lebih jelas flow nya mahasiswa lebih mudah kalau butuh info prodi terima kasih pak bu
63,6/26/2024 20:08:00,Kimia,jadwal seminar proposal seminar hasil sidang mohon sistem baik banyak mahasiswa siap sulit dapat jadwal harus cari jadwal sendiri 4 dosen 1 dosen pegang banyak mahasiswa jadwal rebut bentrok sebab kelulus makin lama bahkan harus tambah semester hanya dapat jadwal jadwal lebih efektif mungkin banyak mahasiswa lulus tepat waktu bahkan waktu
64,6/26/2024 20:09:00,Matematika,tambah kurikulum terap matematika segala bidang
69,6/26/2024 20:47:27,Matematika,latih kerja study case industri utama utk bidang yg hubung dgn data analisis dorong utk ikut hackathon kesan sangat bantu dgn materi kuliah query analisis modeling ajar pak taufik shg bekas benak saya bahan nostalgia
74,6/26/2024 22:07:32,Matematika,harap kembang fasilitas baik fasilitas akademik maupun sedia mushalla perempuan kamar mandi tingkat lebih fakultas sains tekonologi  rasa sayang apabila lab khusus matematika mampu bantu proses ajar proyektor terkadang guna kadang tidak ruang gelap bagai sangat harap fakultas sains tekonologi milik fasilitas cermin sains teknologi
76,6/27/2024 6:53:36,Matematika,kurikulum sedia jurus sesuai dapat tunjang bagai data analyst terumata mata kuliah statistika spasial saya ada dinas fokus tata ruang wilayah saran saya lebih baik jika mata kuliah pilih tambah bidang ilmu seperti bioinformatika biostatistik
78,6/27/2024 7:49:21,Matematika,bidang aktuaria mungkin lebih tingkat
80,6/27/2024 15:43:22,Agribisnis S2,mohon komunikasi internal organisasi antara dosen tingkat baik dosen tengah hati laksana tugas ajar libat kuliah sangat hambat capai kompetensi mata kuliah sukses selalu prodi magister agribisnis
83,6/28/2024 14:59:28,Agribisnis S2,lebih cepat
84,6/28/2024 15:01:13,Matematika,prodi matematika universitas islam negerijakarta sama fakultas kerja sama organisasi satu aktuaris indonesia usaha bumn atau usaha swasta siap karir lulus nanti ada giat career fair  rekrut awal posisi tentu kerja sama satu aktuaris indonesia konversi nilai mata kuliah aktuaria uji pai sesuai mata kuliah ini sangat efektif bantu adik mahasiswa dalam mudah jalan karirnya lulus nanti sangat apresiasi kembang prodi matematika ini makin dinamis dalam hadap kembang zaman terima kasih bapak ibu sukses selalu kita semua
86,6/28/2024 15:28:10,Agribisnis S2,tetap tahan matakuliah masuk kaidah islam makin maju fakultas sains tekonologi universitas islam negerijakarta
89,6/28/2024 15:36:57,Matematika,lebih banyak praktik lapang
91,6/28/2024 16:02:27,Matematika,moga jadi makin baik depan perihal tunjang fasilitas butuh mahasiswa proses kuliah
92,6/28/2024 16:18:41,Matematika,- fasilitas kampus modern lingkung aman buat alam sini jadi sangat senang - ilmu ajar lama kuliah relevan banyak pakai di dunia kerja - lebih banyak ada seminar narasumber praktisi kuat hubung universitas industri bisa jadi langkah awal bagai bentuk kolaborasi proyek teliti sama program magang peluang kerja lulus
93,6/28/2024 16:35:42,Agribisnis S2,jauh sudah baik seluruh dosen admin sangat membanti proses ajar sidang tesis mungkin adakan program internship lama 6 s d 12 bulan baik maupun luar negeri swsuai dengan minat bakat mahasiswa
97,6/28/2024 17:00:58,Fisika,laboratorium riset khusus dosen fisika mohon ada
98,6/28/2024 17:08:22,Fisika,moga prodi fisika tetap bangga makin baik depan
102,6/28/2024 17:16:33,Fisika,bahas nilai bahasa konsep teknik perlu ajar mahasiswa luar mata kuliah kenal dunia industri yang minat arah dunia industrial baik industri oil gas mining chemical atau power plant
105,6/28/2024 17:26:23,Fisika,saya prodi fisika banyak milik dosen praktisi industri beri ilmu terap langsung lapang jelas alam industri banyak laku kerja sama instansi kait prodi fisika lulus prodi fisika kembang skill instansi sebut laku giat yang undang alumni mahasiswa dosen dekat alumni bisa jalin kerja sama
106,6/28/2024 17:33:48,Fisika,- ajar lebih fokus hasil analisa butuh lapang kerja iring sertifikasi mampu - bangun hubung tiap alumni personal bantu hima bukan global saja - daya alumni banyak giat satu dua tiap tahun - laku uji mampu minat mahasiswa dar awal masuk kala
107,6/28/2024 17:33:51,Fisika,kerja sama instansi maupun luar negeri lebih tingkat
108,6/28/2024 17:34:18,Fisika,kesan mata kuliah minat cukup banyak mana kuota sks mata kuliah minat benar alih mata kuliah fisika murni saran ajar mata kuliah misal mekanika kuantum lanjut mata kuliah fisika kuantum
110,6/28/2024 17:43:11,Fisika,kesan  1 lebih banyak ajar teoritis banding praktek lapang 2 ambil minat jurus baru mulai ajar tahun tiga kuliah rasa sedikit lambat banding universitas lain 3 sarana pra sarana kampus kurang pada dukung proses ajar mahasiswa alhasil mahasiswa masih buta bidang ilmu perlu sedikit lebih effort cari sumber wawas bagai sumber laman ajar internet sharing antar universitas instansi kait bidang laku praktek lapang mandiri lain bagai harap  1 moga lebih baik sistem kurikulum bisa lebih prioritas sesi ajar mata kuliah sesuai bidang ilmu ajar kampus itu butuh mahasiswa untuk hadap saing dunia kerja 2 moga bisa sedia sarana pra sarana bisa lebih pada dukung proses ajar mahasiswa kampus kurang lebih mohon maaf ini dapat sesuai apa saya rasa waktu masih kuliah sekian terimakasih
111,6/28/2024 17:45:29,Fisika,lebih dalam kait praktikum khusus bidang laboratorium fisika
113,6/28/2024 17:51:55,Fisika,mohon bimbing skripsi aju seminar hasil sidang sulit dosen bimbing
119,6/28/2024 18:43:21,Fisika,saran tetap jadi prodi fisika cetak generasi emas masa datang
120,6/28/2024 19:32:48,Fisika,lebih banyak mata kuliah  praktikum lebih applikatif dunia kerja
121,6/28/2024 19:35:00,Fisika,alhamdulillah sesuai program ajar mungkin sedikit saran alat praktikum lapang lebih banyak baru sesuai metode ada
123,6/28/2024 19:55:32,Fisika,lebih arah terap nyata apa lebih arah lulus
126,6/28/2024 21:18:17,Fisika,bagi informasi kait lowong kerja prioritas semua alumni prodi fisika universitas islam negerijakarta alumni cepat dapat kerja yg sesuai atau sesuai studi yg pilih kuliah
128,6/28/2024 23:52:22,Biologi,tambah materi bekal kerja lab bekerjasama usaha pkl buka alam lamar kerja waktu pkl bisa panjang lebih bulan
131,6/29/2024 11:26:34,Teknik Informatika,terus inovasi kembang sdm lingkung teknik informatika universitas islam negerijakarta bisa saing universitas
132,6/29/2024 11:44:27,Teknik Informatika,materi kuliah ajar lebih ter up-to-date yang sekarang ini lulus imbang penuh requirement usaha lulus
137,6/29/2024 12:13:19,Teknik Informatika,saya prodi it buat website sendiri isi akses materi lengkap semua mata kuliah akan ajar awal-akhir semester mahasiswa akses materi awal kuliah rasa kuliah kurang banyak exposure project coding individu saya lebih baik buat banyak project individu mahasiswa lalu satu development live cycle banding beberapa tugas project
139,6/29/2024 12:17:16,Teknik Informatika,kurikulum buat update industri ini dapat paham industri kembang sangat pesat saran laku banyak latih struktur data algoritma di kelas lalu platform leetcode  hackerrank banyak usaha pakai platform macam untuk uji masuk karyawannya
140,6/29/2024 12:17:17,Teknik Informatika,moga depan lebih banyak workshop tiap minat prodi teknik informatika harap prodi teknik informatika makin terus kembang baik
142,6/29/2024 12:17:58,Teknik Informatika,banyak praktek verkaitan studi kasus lapang
143,6/29/2024 12:21:26,Teknik Informatika,perlu baik beberapa fasilitas umum toilet kantin
144,6/29/2024 12:24:57,Teknik Informatika,saat jadi mahasiswa baru harap diberitahu hanya andal kurikulum sedia universitas tidak cukup dapat kerja khusus bidang pemrograman perangkat lunak jadi lebih baik beri mahasiswa materi tambah sertifikasi lebih dini juga lebih baik mahasiswa beri paham bagaimana penting alam magang dapat kerja mahasiswa ambil magang mandiri mulai semester 3 4
146,6/29/2024 12:37:05,Teknik Informatika,masa kuliah beberapa mungkin bilang kurang saya mulai kerja semester 6 di tempat kerja ilmu pakai sangat jauh mungkin sesuai kurikulum saya pilih jurus software engineer materi kait backend frontend teknologi lain sedikit kalau memang bisa ajar ada arah apa ajar juga mungkin bahasa pemrograman stack ada upgrade saya ajar backend frontend docker itu arah senior kantor lama kuliah bahas kait itu sangat jarang dapat tetapi ajar kait logic mampu pikir kritis itu saya dapat lama kuliah bisa bilang cukup moga depan prodi teknik informatika makin baik makin bagus sukses semua para dosen teknik informatika juga mahasiswa yang sudah lulus maupun yang masih masa ajar terimakasih
149,6/29/2024 12:50:09,Teknik Informatika,sentralisasi informasi segala butuh daftar baik sempro semhas sidang atau yudisium
150,6/29/2024 12:52:40,Teknik Informatika,banyak program magang
151,6/29/2024 12:53:23,Teknik Informatika,sukses selalu prodi ti
154,6/29/2024 12:53:59,Teknik Informatika,selalu mengupdate kurikulum sesuai butuh industri ini
155,6/29/2024 12:54:23,Teknik Informatika,kurikulum baik sedikit perlu tingkat relevansi dunia kerja ingat dunia it cepat kembang
156,6/29/2024 12:56:11,Teknik Informatika,sangat baik layan sarana prasarana prodi teknik informatika fakultas sains teknologi perlu ketat aman dari alam ketika proses skripsi kampus alami tindak tipu oknum tidak bertanggungjawab modus pinjam uang tidak kunjung kembali moga depan aman lebih perhati kuat seluruh mahasiswa juga dosen semua orang ada kampus rasa nyaman aman terima kasih
157,6/29/2024 12:56:15,Teknik Informatika,banyak sempat magang luar kampus kembang proyek
158,6/29/2024 12:56:53,Teknik Informatika,mata kuliah wajib dapat muat profesional kerja tidak ajar hard skill
164,6/29/2024 13:06:41,Teknik Informatika,banyak baru saya ajar temu teman bagai macam karakter dosen agam ilmu luar biasa
166,6/29/2024 13:08:54,Teknik Informatika,dosen teknik informatika baik ajar ada sulit urus apa prodi teknik informatika cepat tanggap beri solusi mahasiswa ti fasilitas semua giat urus prodi
170,6/29/2024 13:14:11,Teknik Informatika,terus kembang dasar butuh pasar sering laku studi banding company2
171,6/29/2024 13:14:31,Teknik Informatika,mahasiswa baik arah fokus minat sesuai selaras lapang kerja
172,6/29/2024 13:17:35,Teknik Informatika,alhamdulillah semua baik terus inovasi kembang ti
173,6/29/2024 13:19:23,Teknik Informatika,moga prodi teknik informatika makin jayaa
175,6/29/2024 13:20:52,Teknik Informatika,bidang ilmu mata kuliah tepat laksana giat ajar terlalu dasar moga depan lebih dalam lebih sesuai butuh dunia kerja
176,6/29/2024 13:22:23,Teknik Informatika,kurikulum kurang update tinggal
178,6/29/2024 13:39:51,Teknik Informatika,lebih sering ada sertifikasi latih pihak tiga info lomba
181,6/29/2024 13:44:02,Teknik Informatika,lama kuliah dosen baik sangat sabar terima kasih banyak seluruh dosen prodi
183,6/29/2024 14:20:49,Teknik Informatika,kurikulum nya lebih tingkat dekat kebutuhan2 software engineer sedang demand ini frontend backend mobile android ai data science iot utama sub-bidang bahasa pemrograman butuh usaha it moga teknik informatika universitas islam negerijakarta makin maju
185,6/29/2024 14:21:43,Teknik Informatika,mohon ajar selalu kait implementasi lapang banyak praktik banding teori
187,6/29/2024 14:34:56,Fisika,banyak praktikum yg arah dunia kerja
188,6/29/2024 14:51:24,Teknik Informatika,perlu program wajib magang integrasi usaha bekerjasama kampus mahasiswa lulus jadi bekal tambah portofolio akan mudah mahasiswa lamar kerja lulus tahun ajar lama jadi mahasiswa daftar msib magang merdeka namun dapat kabar mahasiswa universitas islam negerisudah dapat ikut program sebut ini saya sangat bantu jadi bekal ketika mahasiswa lulus telah milik alam kerja proffesional lebih mudah daftar kerja
191,6/29/2024 15:53:47,Teknik Informatika,mantapp mungkin adakan program kerja sama magang ui ux designer software engineer quality assurance dsb
192,6/29/2024 16:35:16,Teknik Informatika,khusus prodi teknik informatika harap selalu update tren teknologi baru teknologi ai baru bahasa framework pemrograman baru itu harap selalu selenggara giat latih sertifikasi mahasiswa dapat tambah ilmu alam portofolio para mahasiswa
195,6/29/2024 16:44:18,Teknik Informatika,tahun kuliah rupa tahun covid-19 jadi paham materi dapat sangat kurang tidak praktek
200,6/29/2024 19:48:35,Teknik Informatika,sarana saya mungkin perlu sampai kait apa bidang bisa ambil lulus ti
201,6/29/2024 20:10:36,Teknik Informatika,kolaborasi bagai usaha bisa ada intern-fair alam magang yg signifikan sangat pengaruh acceptance rate
202,6/29/2024 20:24:22,Teknik Informatika,hadir mata kuliah benar vital butuh dunia kerja contoh data pipeline data engineering  manipulation
204,6/29/2024 21:50:39,Teknik Informatika,harap kurikulum jurus kait networking security networking lebih dalam pada dasar butuh kait network network security sangat butuh tiap usaha
209,6/30/2024 15:41:45,Matematika,banyak minat public speaking
211,7/1/2024 7:20:40,Teknik Informatika,saya fokus mahsiswa saat berkarir baik tambah mata kuliah memang khusus cara pandu langkah mulai karir
213,7/1/2024 8:52:05,Teknik Informatika,lebih baik banyak program magang macam career expo fasilitas mahasiswa i nali dunia kerja  skill perlu sejak dini terima kasih 
215,7/1/2024 12:41:14,Teknik Informatika,kurikulun sesuai butuh lapang kerja sesuai bootcamp-bootcamp baik
217,7/1/2024 15:39:50,Teknik Informatika,libat alumni lebih tingkat beri seminar sharing session sangat bantu mahasiswa dapat gambar dunia kerja bangun networking
218,7/1/2024 18:45:30,Biologi,lebih banyak praktek  fieldtrip situ dapat manajemen resiko management waktu inisiatif sama temen team work solid kreatif lingkung kerja pakai itu
219,7/1/2024 18:52:20,Biologi,perlu tinjau hadap kurikulum pasti materi ajar sesuai butuh industri topik seperti kontrol kualitas analis riset analisis bahaya titik kendali kritis haccp iso 22000 manajemen aman pangan praktek manufaktur baik gmp praktik laboratorium baik glp prosedur operasi standar sanitasi ssop alur proses produksi produk biologi harap materi dapat tambah nilai saing mahasiswa lulus biologi
220,7/1/2024 18:53:15,Biologi,makin maju kembang banyak bakat orang tua
221,7/1/2024 19:37:59,Biologi,moga kembang nya makin keren dan moga makin lancar urus daftar wisuda aamiin
222,7/1/2024 20:56:49,Biologi,mohon ada grup kelompok kembang karir alumni2
223,7/2/2024 8:28:56,Biologi,terimakasih universitas islam negerijakarta
224,7/2/2024 9:55:27,Teknik Informatika,moga prodi teknik informatika makin kembang kurikulum program ajar teknik informatika universitas islam negerisemakin harum dunia industri maupun akademis
227,7/2/2024 10:50:35,Prodi Kimia,lebih baik mahasiswa bekal sertifikasi ahli guna industri relevan bidang
230,7/2/2024 11:09:06,Prodi Biologi,moga ipk tingkat karena sangat masuk prasyarat kerja
231,7/2/2024 11:12:14,Prodi Biologi,alhamdulillah prodi biologi bagus layan mahasiswa sudah cukup bagus sangat mudah mahasiswa
236,7/2/2024 11:36:13,Prodi Biologi,saran dr moga layan akademik fakultas lebih sigap cepat tanggap
237,7/2/2024 11:40:08,Prodi Biologi,biologi mohon ada mata kuliah pangan halal sistem halal yang di prodi kimia farmasi maupun agribisnis
238,7/2/2024 11:40:25,Prodi Biologi,perlu ada kerjasama mitra badan usaha buat program wirausaha bisa bangun kelulus
242,7/2/2024 11:45:00,Prodi Biologi,kurikulum harap beri kontribusi tempat kerja
244,7/2/2024 11:50:39,Prodi Biologi,saran mungkin beri bimbing lulus biologi prospek kerja mana dan fasilitas di informasi bila latih sertifikasi lama kuliah akan bantu mahasiswa survive dunia kerja nanti
245,7/2/2024 11:51:06,Prodi Biologi,saran  tingkat fasilitas laboratorium alat baru lebih lengkap bangun kerjasama industri lembaga teliti universitas lain susun kurikulum lebih relevan butuh industri kembang kesan  alam ajar makna buka wawas fasilitas cukup dukung proses ajar ajar dosen staf sangat dukung bantu beri motivasi harga
248,7/2/2024 11:57:25,Prodi Biologi,moga prodi biologi makin maju jadi prodi baik cetak lulus milik kualitas bangga
250,7/2/2024 11:58:28,Prodi Biologi,mahasiswa arah banyak ikut giat magang latih luar jam kampus seminar online asah ilmu mahasiswa bidang biologi banyak praktikum studi banding laboratorium eksternal
251,7/2/2024 12:08:32,Prodi Kimia,moga prodi kimia banyak jalin kerjasama usaha
253,7/2/2024 12:10:04,Prodi Biologi,kesan  layan administrasi cepat
256,7/2/2024 12:13:48,Prodi Biologi,moga makin baik sarana prasarana prodi untuk tunjang mahasiswa prodi biologi
260,7/2/2024 13:13:05,Prodi Biologi,kesan prodi biology seru banget saran nya biologi universitas islam negerisupaya lebih seru hal kembang teknologi maupun sains nya lebih abdet slalu beri arah dukung  motivasi mahasiswa i nya biar makin semangattt mudah berkarir bidang nya biology universitas islam negerijakarta aku yakin makin keren lulus mahasiswa i yg sangat prestasi harum nama kampus indonesia aamiin
262,7/2/2024 13:22:19,Prodi Biologi,saran kembang fasilitas fakultas biologi pelihara bersih toilet
265,7/2/2024 13:32:50,Prodi Matematika,dunia insurance sangat butuh aktuaris
268,7/2/2024 13:48:21,Prodi Kimia,baik selalu baik terus depan
269,7/2/2024 13:48:26,Prodi Kimia,alumni yang baru lulus buat grup info kena kerja apa
273,7/2/2024 16:42:04,Prodi Biologi,beberapa mata kuliah mungkin jelas apa target per semester silabus
275,7/2/2024 16:45:47,Prodi Kimia,pesan pesan harap agar prodi kimia depan terus maju jadi prodi baik mahasiswa fasilitas bagus pada
276,7/2/2024 17:24:03,Prodi Biologi,beri rekomendasi kuliah bekal lanjut kerja
279,7/2/2024 18:14:00,Prodi Biologi,sukses selalu prodi biologi universitas islam negerijakarta
281,7/2/2024 22:13:05,Prodi Biologi,moga depan jadi akses buka lapang kerja bidang sesuai
282,7/3/2024 6:43:43,Prodi Teknik Pertambangan,1 tingkat kerja sama usaha tambang buka peluang teliti mahasiswa buka peluang kerja para alumni 2 sedia bimbing karir latih soft skills siap mahasiswa pasuk dunia kerja
283,7/3/2024 6:59:41,Prodi Teknik Pertambangan,buat latih standar nasional bawah perintah
285,7/3/2024 8:36:07,Prodi Teknik Pertambangan,banyak mou usaha tambang baik sistem ajar matakuliah praktikum mineplan sesuai butuh usaha nanti mahasiswa lulus universitas islam negerijakarta program studi teknik tambang kuasa skill guna software tambang baik
286,7/3/2024 8:51:52,Prodi Teknik Pertambangan,bagus mungkin perlu tingkat lanjut kerjasama usaha tambang nya mahasiswa hendak laku kerja praktik ta relasi mudah
287,7/3/2024 9:05:10,Prodi Teknik Pertambangan,jalan baik mohon tahan
289,7/3/2024 10:26:30,Prodi Agribisnis,kerja sama usaha
290,7/3/2024 16:05:20,Prodi Teknik Pertambangan,perlu kembang laboratorium juga banyak untuk praktik lapang dapat tunjang ilmu tahu lulus
292,7/3/2024 17:11:44,Prodi Kimia,moga akrenya cepet naik jadi a
297,7/4/2024 11:21:48,Prodi Agribisnis,program studi agribisnis rupa jurus turut akan relevan depan namun masalah ini kurang tenaga ajar dosen giat upa studium general kerjasama harus lebih giat depan sebut harap tingkat potensi tepat waktu lulus mahasiswa tambah wawas ilmu tahu relevan up to date
299,7/5/2024 14:20:18,Prodi Teknik Pertambangan,tingkat kualitas ajar ajar dalam kelas
305,7/9/2024 19:33:08,Prodi Matematika,sharing alumni ttg wirausaha dosen tamu matakuliah wirausaha bisnis giat wirausaha yg manfaat lain
310,7/10/2024 11:26:56,Prodi Biologi,lebih tingkat administrasi layan ruang prodi
316,7/10/2024 11:34:53,Prodi Biologi,layan bagus cepat tanggap bantu prodi moga makin bagus bisa terus tingkat potensi mahasiswa prodi biologi
319,7/10/2024 11:49:14,Prodi Biologi,ada cukup
322,7/10/2024 12:01:27,Prodi Biologi,- bantu mahasiswa terap ajar jenjang karir lanjut mahasiswa bingung pilih mata kuliah pilih lebih baik beri suluh seminar bidang kerja sekira beri pandang mahasiswa tentu karir mulai semester awal mahasiswa tahu potensi diri dapat kembang skill - adakan lebih banyak seminar latih nanti butuh sertifikasi skill cari kerja tambah alam portofolio
323,7/10/2024 12:26:40,Prodi Biologi,moga prodi biologi makin baik lagi terima kasih
324,7/10/2024 12:43:39,Prodi Biologi,luas wawas informasi mahasiswa biologi universitas islam negerijakarta baik selenggara seminar wajib kait iso halal tiap mahasiswa biologi lulus milik sertifikat latih iso halal tambah nilai unggul alumni biologi universitas islam negerijakarta
329,7/10/2024 14:54:18,Prodi Biologi,cukup baik
330,7/10/2024 15:12:23,Prodi Biologi,kurang bidang spesifik ekologi hewan
333,7/10/2024 16:14:04,Prodi Biologi,alam pkl intern sangat penting mungkin panjang waktu banyak yang ajar khusus lingkung kerja waktu batas
336,7/10/2024 16:59:08,Prodi Agribisnis,buat efisien semua program kuliah bisa cepat mahasiswa lulus
338,7/10/2024 17:48:31,Prodi Biologi,saran dapat jauh lebih baik tingkat fasilitas ajar mahasiswa dengar dapat mahasiswa
341,7/10/2024 18:41:07,Prodi Biologi,beberapa kuliah di luar universitas islam negeriyg ga diconvert sks padahal dulu bilang saat jadi mahasiswa baik sistem kurikulum merdeka jalan lancar
342,7/10/2024 18:54:21,Prodi Biologi,cukup baik
345,7/10/2024 22:54:02,Prodi Biologi,ajar sampai baik dosen kompeten bidang
349,7/11/2024 7:41:29,Prodi Biologi,ada career fest seminar studi banding dgn universitas lain sosialisasi beasiswa s2 kenal bidang kerja suatu usaha jurus mulai pkl hingga tugas akhir selaras kerja
353,7/14/2024 21:18:10,Prodi Agribisnis,ada mata kuliah minat mahasiswa milik fokus bidang lebih khusus
354,7/14/2024 21:21:20,Prodi Agribisnis,tambah jumlah dosen jauh prodi agribisnis kurang dosen
355,7/14/2024 22:01:19,Prodi Agribisnis,terima kasih atas layan beri lama ini banyak sekali manfaat benefit rasa ada fakultas program studi sangat hadir mensupport segala aktivitas baik luar kampus hingga luar kampus tidak itu seluruh dosen demikian selalu paham aktivitas mahasiswa luar kampus sehingga alam kuliah menajadi sangat kesan lupa mungkin bapak ibu dosen segenap keluarga besar fakultas sains tekonologi tidak beri izin ikut giat luar kampus saya tidak ada titik ini titik turut saya tidak semua mahasiswa dapat rasa sekali lagi terima kasih banyak atas peluang kerjasamanya moga selalu beri sehat lancar segala urus
356,7/15/2024 7:57:56,Prodi Agribisnis,moga depan makin banyak mahasiswa dapat lulus tepat waktu
359,7/17/2024 0:18:22,Prodi Agribisnis,tingkat kerjasam usaha libat usaha kurikulum akademik
362,7/18/2024 14:49:56,Prodi Agribisnis,terus laku kembang kait manajemen sumber daya manusia program studi agribisnis
363,7/18/2024 16:07:30,Prodi Agribisnis,bagus
366,7/22/2024 14:28:40,Prodi Teknik Pertambangan,mou antar kampus usaha tambang lebih banyak
372,8/6/2024 11:18:31,Prodi Agribisnis,seperti perlu ada minat di angkat 19 mahasiswa punya fokus bidang tentu
373,8/7/2024 11:54:35,Prodi Agribisnis,moga tahan apa sudah baik tingkat apa belum baik
381,8/8/2024 23:23:06,Prodi Agribisnis,ada prodi jalan cukup baik
383,8/9/2024 8:56:52,Prodi Agribisnis,moga depan nya jadi lebih baik dapat terus beri ajar mutu para mahasiswa
384,8/9/2024 11:51:40,Prodi Agribisnis,program magang pkl praktik kerja lapang baik prodi fakultas bangun mitra usaha agribisnis muka lembaga teliti lain sedia mudah akses sempat magang usaha besar cari sendiri tempat pkl cukup sulit dapat usaha besar batas koneksi waktu lain seringkali jalan pkl magang tempat standar dampak alam magang standar dan rasa kurang bekal cari kerja
385,8/9/2024 14:21:26,Prodi Agribisnis,semua bagus harap mahasiswa jadi lebih baik
386,8/12/2024 11:51:39,Prodi Agribisnis,prodi saran beri rekomendasi antara usaha besar agribisnis mahasiswa i saat program magang pkl
387,8/15/2024 8:54:52,Prodi Agribisnis,alhamdulillah rasa syukur timba ilmu program studi agribisnis universitas islam negerijakarta telah banyak beri ilmu alam ajar praktek kesan positif tidak sebut satu satu saran hanya satu evaluasi dosen jarang masuk kelas ini karena dosen sebut cukup rugi mahasiswa yang niat ajar sungguh akhir kata moga ilmu saya dapat manfaat dunia akhirat amin
388,8/15/2024 9:19:42,Prodi Agribisnis,moga depan prodi agribisnis lebih banyak praktek pada teori hal dapat asah mampu di dunia kerja nanti
389,8/15/2024 14:01:01,Prodi Agribisnis,fasilitas program kembang skill pasca lulus lebih kembang
391,8/16/2024 6:23:58,Prodi Agribisnis,sungguh terima kasih ibu bapak dosen agribisnis tahun pertama hingga dua senang ajar sana salah satu mahasiswa kena dampak covid19 ajar itu sungguh senang akhir putus lebih banyak ambil giat di luar kerja paruh waktu hal lain alhamdulillah atas doa orang tua dukung bimbing ketua prodi ini yang hormat bu rizki bu titik kuliah dapat selesai saran kembang prodi barangkali perlu kaji ulang komposisi ilmu dosen karena turut salah satu tolok ukur ajar hingga implementasi kurikulum di bapak ibu dosen sekira itu mohon maaf terima masih
392,8/16/2024 9:29:06,Prodi Agribisnis,agribisnis universitas islam negerijakarta tempat kuliah yg sangat kesan saya banyak sekali ilmu alam dapat fasilitas jurus perlu tingkat fasilitas kebun laboratorium yg pada mahasiswa hanya erti teori tetapi paham laksana lapang
394,8/16/2024 15:51:14,Prodi Agribisnis,fasilitas sesuai mata kuliah upgrade softskill lebih kembang
396,8/19/2024 13:41:07,Prodi Agribisnis,fasilitas lebih tingkat lebih erat hubung mahasiswa dosen ini tuju tahu apabila mahasiswa milik kendala biaya tahu ajar bisa dukung bantu proses kuliah cepat selesai
