publishedAt,platfrom,authorDisplayName,likeCount,textDisplay,label
13/02/2025,youtube,@nerdzartemic8213,0,of the great mistakes is to judge policies and programs by their intentions rather than their results milton friedman,Positif
12/02/2025,youtube,@dheocahyo7721,0,renung konten minggu kepala bersebrangan dapat program mbg barusan pikir argumen pov mbg kaya perata didik merdeka ajar niat program manfaat hasil laksana indonesia banding mbg us banding perata didik finland program perata didik finland sadar didik level keluarga fasilitas tenaga didik metode adopsi yaa kaya lihat kualitas didik turun bikin bahas konten ferry irwandi mbg banding makan siang gratis sekolah us argue us posisi ekonomi infrastruktur pr beda indonesia it s just not apple to apple anda ekonomi kondisi beban ikn tingkat sejahtera guru program lihat faktor mangkas anggar mana narasi edar anak kasih makan siang gratis phk titik program program program gantung kesiap sekala prioritas program indonesiua program jelek anyway wkwkwk agree to disagree,Negatif
12/02/2025,youtube,@Sleeperis,0,fomo racun makan enak komplain prabowo memang masak panen bahan komplain gambar nalar kecuali vendor satu komplain dana up prabowo cari solusi sila menit fomo suka lucu cocok komedian,Negatif
12/02/2025,youtube,@haydaradmc_leod5559,0,lembek,Negatif
11/02/2025,youtube,@Habay99,0,lucu makan steak juta racun ahahaaha elah,Negatif
10/02/2025,youtube,@aditiaromadhoni1778,0,diperbaikikalo perintah gagas siap matang korban rakyat,Negatif
10/02/2025,youtube,@arsyah-o2f,0,cahyadi corbuzier gelar p h panjang pizza hut delivery wkwkwkw,Positif
09/02/2025,youtube,@fastranger,0,dedi botol detol ytta,Netral
09/02/2025,youtube,@ramabohochanell9015,0,senang lihat dengerin bicara panji,Positif
08/02/2025,youtube,@ImamSetiady-h5q,0,pandji bangsad suka tertawa,Negatif
08/02/2025,youtube,@theoldSkul06,0,kasih erti muji botak blunder pola pikir suka kacau,Negatif
08/02/2025,youtube,@willydenhas646,0,cahyadi uzur,Netral
07/02/2025,youtube,@SiPalingToleransi,0,pribadi nongol konten yt konten si dagu oplas antek nongol yt auto klik titik kanan pilih not interested yt patah semangat nongolin konten si dagu oplas dan kawan kawan kalah gencar klik not interseted alhasil nongol yt pribadi bicara sembarang si dagu oplas dan kawan kawan omong bikin bulu kuduk kering,Negatif
07/02/2025,youtube,@chikac2637,0,sekolah gemar american animated series kayak hai arnold rugrats as told by ginger anak an situ nonton culture amerika makan siang gratis keren indonesia terapin kontra indonesia ajar amrik perintah invest bangun infrastruktur dapur sekolah kayak anak sekolah amrik perintah prabowo mau satset grasa grusu invest bangun prasarana gembar gembor selenggara makan siang gratis boncos,Positif
07/02/2025,youtube,@Muhida_kun,0,terima kasih edukasi politik sehat panji,Positif
06/02/2025,youtube,@bor.4838,0,kandidat kemarin pungkiri kompeten prabowo sial ngewarisin bekas pimpin mulyono jalan pimpin jaman bobrok kaya soekarno harto habibi mimpin jaman berat bekas waris mulyono hancur lebur,Negatif
06/02/2025,youtube,@TeslaIndi,0,sbner kritik mbg utama kualitas rakyat kualitas benerin,Netral
06/02/2025,youtube,@hilmanpermana07,0,gila denger opini lebih kurang logika dasar dukung jelek kritik bukti beban gin,Negatif
05/02/2025,youtube,@dipoanugrah1782,0,lucu anjing bicara si dedi wkiwkwkwk,Negatif
05/02/2025,youtube,@AhmadSyifa-q8h,0,nada buzzrer saudara laki laki bahas gara mbg pajak anggar tri strategis sentuh butuh langsung rakyat pangkas darimana gratis boros peluang kkn dls capek dengerin kritis kelas tengah,Negatif
09/02/2025,youtube,@kimigasan4864,0,lucu komen,Negatif
05/02/2025,youtube,@LiyanaaYuana-u1x,0,inget quote senior motivasi ragu maju ide salah koreksi benar maksud maju ngejalanin dipikirin paham inisiasi perfect cela,Negatif
05/02/2025,youtube,@alamandapratiwi9618,0,ketawa nular,Positif
04/02/2025,youtube,@rizkyhermawan_,1,plot twist,Netral
04/02/2025,youtube,@chairilazmi7943,0,program laksana tholol dukung,Positif
04/02/2025,youtube,@aditerwin456k,0,ikhlas,Positif
04/02/2025,youtube,@nuriyahsulkha322,0,salfok jam jam mati engga,Negatif
04/02/2025,youtube,@miezyoung,0,pandji makan gizi krusial hamil lahir anak program gizi anak sekolah umur th anggar fokus hamil bayi balita anak umur th fokus posyandu posyandu kurang arah sampai anak tolong walopun niat sasar kecuali dana,Negatif
04/02/2025,youtube,@katatulis2837,0,fakta data bilang nyata satu data banyak data akses instansi pegang kemenhub gapaham data rencana kasih bps tidak jelas tambah anggar kerja tingkat,Negatif
04/02/2025,youtube,@arifrzqasri,0,ketawa bengek part bahas cahyadi,Positif
04/02/2025,youtube,@shidqidhaifanriadhi4164,0,tuju program perintah niat coba jalan proses salah contoh kaya makan gizi gratis tapera kritik kritik jadi pondasi depan biar masala syukur urus hati tuhan syukur tutup baik baik syukur trial and error moga depan,Negatif
04/02/2025,youtube,@yuniwijayanti8162,0,nikmat podcast sila jujur nilai kali tertawa tertawa bodoh dc bravo panprag,Negatif
04/02/2025,youtube,@WAHYUTIRTAJAYA-z7p,0,bilang program makan gratis jelek jamin makan ngerasain pulang sekolah mesti kerja makan siang bantu orang tua makan malam makan nasi garem dukung sejahtera empati,Negatif
04/02/2025,youtube,@RH_cAs,0,rilis,Positif
03/02/2025,youtube,@rolandnug1074,0,konon netizen nama deddy kokbuzzer,Positif
03/02/2025,youtube,@MaulanaR-b7k,0,lucu judul tutor ded,Netral
03/02/2025,youtube,@Lights_And_Salt,0,pepatah bijak kail ikan cangkul beras kepala bantu rakyat indonesia lapang kerja baik ekonomi keluarga nafkah anak anak didik gizi emis makan gratis bansos rusak mental bangsa emis makan gratis,Negatif
03/02/2025,youtube,@pokoke-politikkotorkeluarga,0,makan gizi gratis rakyat seyogyanya wajib rakyat program politik,Positif
03/02/2025,youtube,@irawanwijaya2979,0,suka ceng an asli kocak habis,Negatif
03/02/2025,youtube,@MaulanaR-b7k,0,anjing tuju gara nonton bicara milu smp pikir sekolah saji makan siang siswa i oke kemarin tuju makan biaya gede potensi korupsi dan lain lain bela duit gede nonton video,Negatif
03/02/2025,youtube,@ellenm4420,0,otak panji posisi dedi otak terjun politik pilgub ahok anis banding dp banding prgram akal ji program selamat botak,Negatif
03/02/2025,youtube,@viscoa6461,0,pandji,Netral
03/02/2025,youtube,@leonardojami3,0,om pandji dar saran prioritas baik data data ukur efektifitas efisiensi upaya evaluasi program dasar data valid kredibel temu dasar alam asumsi bias,Negatif
03/02/2025,youtube,@allesghazie7174,0,letkol sombong pe a,Negatif
03/02/2025,youtube,@radikaakbar4595,0,prioritas si calon hamil bayi tolong prioritas realitanya mbg kasih siswa makan kasih temennya kaya waste apbn,Negatif
03/02/2025,youtube,@imelimel7780,0,die buzer,Negatif
03/02/2025,youtube,@rekyanbudisatwiko2409,0,bayangin print foto cahyadi telanjang dada pas ditunjukin pandji tertawa spongebob,Positif
03/02/2025,youtube,@jajangferdiansyah,0,lanjut,Negatif
03/02/2025,youtube,@muhammadagammuraski4855,1,teori program makan siang gratis makan siang gratis mahal boncos perintah tekan arti butuh uang tekan perintah pilih tekan masyarakat musuh politik prabowo prabowo jahat perintah tekan atas arti potong dana instansi jalan efisien dana salah instansi hasil cendrung minus moga perintah timbang putus baik program jalan bantu ada makan gratis abang pandji susah makan saksi mata beneran,Negatif
03/02/2025,youtube,@MultiMamri,0,aneh jam romawi,Negatif
02/02/2025,youtube,@wifiwimpi,0,tansel,Netral
02/02/2025,youtube,@Garnet7,0,kolom komentar ig suruh nonton panji paham posisi si deddy nambah sdm indonesia,Positif
02/02/2025,youtube,@thanos5022,0,bicara marshel beda abang,Positif
02/02/2025,youtube,@nandadwisaputra4819,0,panji kepala daerah ntt timur tinggal abang diam,Netral
02/02/2025,youtube,@luciohappy,0,makan gratis kayak penting wajib ajar kelas didik gratis banyak lapang kerja naik pasu pajak,Negatif
02/02/2025,youtube,@Badguy123-m2g,0,makan ribet omon omon sdm rendah sdm rendah susah era lahir jaman jajah hidup konoha moga makmur korupsi jual beli agama si agama adil generasi,Negatif
02/02/2025,youtube,@irfanghani9326,1,haru terima kasih izin pandji published video public terima kasih,Positif
02/02/2025,youtube,@ebykun,1,program salah satuny ya makan gizi gratis fakta lapanganny enas korupsi parah,Negatif
02/02/2025,youtube,@Yubelia4125,0,bicara ketawa melulu kocak,Positif
02/02/2025,youtube,@PejuangKehidupan-j9t,0,tdnya ngecibir program makan gratis resiko ssperti kualitas makan korupsi dana produksi masakan keefektifitasnya ragu nonton panji buka pikir manfaat tinggal awas laksana,Positif
01/02/2025,youtube,@SaadatunFathiyah,1,sadar mas panji terima kasih ilmu,Positif
01/02/2025,youtube,@ariandoanwar9025,1,si botak okb kaya,Negatif
01/02/2025,youtube,@kukuhsetiawan7637,1,rangkum hasil program mbg siswa racun pungli nakal tipu mengatasnamakan institusi ormas proyek perintah lambat bayar mitra mandiri mitra mandiri stop undur bayar lambat lanjut,Negatif
01/02/2025,youtube,@coldasanays,1,we listen and we dont judge imo program miskin gatau mental ternak anak mikirin anak program sasar tau sasar korupsi otak tu mikir dampak mbg trade mati korban triliun th mending buka lapang kerja takut program mbg gratis tumbuh lahir gede kenyang gizi sedang apa,Negatif
01/02/2025,youtube,@anntoinetteryth9718,0,perhati respon program perintah sumber masyarakat indonesia depan sistem ntahlah stereotype template perintah ubah,Positif
01/02/2025,youtube,@meriandrian9655,0,racun sebab racun bahan makan jam bida ngeluarin racun mikro olah niat mbg perintah celah celah korupsi program,Negatif
01/02/2025,youtube,@andik6,0,turut ganti nama makan siang gizi upaya gratis gratis bayar pajak masyarakat indonesia mental gratis,Negatif
01/02/2025,youtube,@SpillResep,1,hidup dalam perut lahir susu,Positif
01/02/2025,youtube,@Lazy_G,0,makan gratis asli sekolah teman sarap uang jajan beli makan berat bingung nyalurinnya lihat berita jabat korupsi truk celaka bawaanya malingin warga smp maling isi banyak maling,Negatif
01/02/2025,youtube,@Suher651,0,dewasa sakit ngajak antem anak sd politik pintar blunder,Negatif
01/02/2025,youtube,@xplee5477,0,program kocak beranta,Positif
01/02/2025,youtube,@kasamago,0,paksa program tel biaya saat kas minus jahat,Negatif
01/02/2025,youtube,@setiafutsal6238,0,rilis pikir buka,Negatif
01/02/2025,youtube,@funky_1221,1,anjing ketawa renti air mata nyebelin lebih baik roasting gin ngena drpda hate komen balas nyebelin,Negatif
01/02/2025,youtube,@jogihernado123,0,terima kasih member mengijinkan sehat,Positif
01/02/2025,youtube,@BalgisAzZahra-i3k,0,ngelanjutin statement perintah fokus program daerah tingkat dapat rendah daerah pusat perintah,Netral
01/02/2025,youtube,@inrecap,1,panji anjing lucu impersonate botak kocak,Negatif
31/01/2025,youtube,@masgalsakti,0,tuju program gratis prabowo makan gizi gratis dicombo sekolah kuliah gratis abah anies makan gizi gratis tenaga mikir didik gratis mikir kontra program internet gratis ganjar stunting didik senjata internet gratis netizen bodoh gampang giring opini influenser buzzer robot,Negatif
31/01/2025,youtube,@enigma7737,2,buzzer serang buzzer letkol serang anak sungguh serang anak cari makan,Negatif
31/01/2025,youtube,@triowkwkw1551,1,iyaya dedi buzer ya maling teriak maling tertawa bareng,Negatif
31/01/2025,youtube,@iqbaldzikri5178,0,hahahahahah tertawa nonton jelang,Positif
31/01/2025,youtube,@iqbaldzikri5178,0,steak juta,Positif
31/01/2025,youtube,@primebelajar,0,sah anggap makan gizi gratis program tolol ambil anggar alias not calculated program baik tinjau program pandji banyak dampak akibat paksa program anggar operasional cut potensi timbul colateral damage correct me if i m wrong,Positif
31/01/2025,youtube,@sitinafirohanna2766,1,buang dana smpe trilyun sekolah anak makan acak doang masakan cocok lidah anak masak ngasal mateng,Negatif
31/01/2025,youtube,@endangwijaya1157,0,cahyadi said kaya ente,Negatif
31/01/2025,youtube,@YauanwDua,0,awokwok ngences,Netral
31/01/2025,youtube,@idangz,0,closingnya kocak wkkwkwwk dedi baser,Negatif
31/01/2025,youtube,@B.Lokajaya,0,anggar mbg make sense direalisasiin pendek estimasi anggar t rencana tambah realistis coba tahap daerah daerah daya beli masyarakat rendah jalan oke bikin rata program daerah program uji coba daerah sisa anggar dialihin subsidi harga sembilan bahan pokok bahan pangan murah orangtua daerah provide makan gizi keluarga rumah,Positif
31/01/2025,youtube,@akphoneofficial4236,0,puas mas pandji terima kasih love you,Positif
31/01/2025,youtube,@standardissue15,0,buzer cuman pinter ngomongnya botak otot pinter,Negatif
31/01/2025,youtube,@ronaldonaldo5811,0,terima kasih member kontribusi bantu cerdas hidup anak anak bangsa miskin akses konten bayar isi daging,Negatif
31/01/2025,youtube,@katarinaimelda2244,0,well said,Netral
31/01/2025,youtube,@eko4351,0,indonesia korupsi mana beliau power bersih bersih korupsi program bagus apa indonesia ujung ujung rusak korupsi contoh wacana poin sim pelanggat lintas poin kurang poin habis sim pergi sebener program manusia manusia bobrok lahan korupsi sim pergi dateng makelar sim pergi idup korupsi,Negatif
31/01/2025,youtube,@amidalaquinny3439,1,mas panji jujur salah seorg serang si cahyadi buzzer im only old women suka cucu serang buzzer they are only kids,Negatif
31/01/2025,youtube,@khalidpotter,0,opini pribadi tuju mbg mbg buang apbn ratus triliun apbn wc utama sejahtera sosial senjang sosial kaya kaya miskin miskin kelas tengah miskin solusi logis mutu didik tingkat bangun pabrik indstri loker buka luas luas tahan pangan stabil harga bahan pokok,Negatif
31/01/2025,youtube,@Minoa12,0,anak ajar taruh perhati proses tumbuh kembang makan gizi sulit rubah biasa bayang anak klean kasih makan gizi milih makan enak gizi bayang dampak tumbuh kembang,Negatif
31/01/2025,youtube,@carangkuningchanel7534,0,keren panji,Positif
31/01/2025,youtube,@carangkuningchanel7534,0,penting presiden prabowo cerdas dukung cinta rela mati omon omon biar musuh ganggu kerja rakyat bantu prabowo aspek,Negatif
31/01/2025,youtube,@Arif-jt4qg,1,dedi bikin konten kreator ride the wave beneran cerna wkwkkwkw,Positif
31/01/2025,youtube,@ekosyahputrakurniawan9314,1,terima kasih member izin nonton,Positif
31/01/2025,youtube,@kirakyubi9,1,kasar remaja remaja stunting bocah viral hitung baca kasih klik bait makan bilang calon generasi indonesia cemas,Negatif
31/01/2025,youtube,@ManuelKlasi,0,deddycorbuzier,Netral
31/01/2025,youtube,@ibalmuh8892,1,donasi agus ntt,Netral
31/01/2025,youtube,@Deez____,1,anjing patah tertawa kantor,Negatif
31/01/2025,youtube,@nurulhidayah7268,0,menit makan leher cekit terima kasih hymne juang orangtua,Negatif
31/01/2025,youtube,@klia174,0,suka ketawa,Positif
31/01/2025,youtube,@iqbalmaullana2275,0,coretax,Netral
31/01/2025,youtube,@mabwise7354,0,dukung makan gratis ngurusin korupsi moral,Negatif
31/01/2025,youtube,@amienri7onga,0,bikin pandji,Positif
31/01/2025,youtube,@Uden-tj7kp,0,dukung program program rakyat pesimistis program laksana indonesia ketawa kocak moga depan realisasi kocak,Positif
31/01/2025,youtube,@lanaramadhan6707,0,buzzer teraik buzerr wkkwwk cahyadi cahyadi,Netral
31/01/2025,youtube,@The-Ramih,0,mbg jumat berkah duluan jamur,Netral
31/01/2025,youtube,@IchaZevanna,0,prgi panji ngmong pas ketawa ku ketawa nular,Positif
31/01/2025,youtube,@megaselfiana075,2,gila panji tunggu mensrea langsung pantengin websitenya dasar seluler kentang langsung sold bagea bandung amsyong sedih woy,Negatif
31/01/2025,youtube,@johntorque2533,0,susah kasih makan bah makan,Negatif
31/01/2025,youtube,@johntorque2533,0,ajar ribut makan makan bagi makan tahan napsu makan,Negatif
31/01/2025,youtube,@johntorque2533,0,titik rendah manusia harap makan manusia hina manusia betebut makan,Negatif
31/01/2025,youtube,@johntorque2533,0,stop hina kasih makan,Negatif
31/01/2025,youtube,@johntorque2533,0,susah bayar pajak gaji prabowo kasih makan,Negatif
31/01/2025,youtube,@johntorque2533,0,paham hina debgan asih makan,Negatif
31/01/2025,youtube,@johntorque2533,0,kasih makan kasih makan,Negatif
31/01/2025,youtube,@johntorque2533,0,ulat kerja makan daun henti makan daun kupu,Negatif
31/01/2025,youtube,@televiblue,1,prabowo buzzer dedi dedi buzzer panji wkwkwk,Negatif
31/01/2025,youtube,@adeknonekcom,1,ahok kasih tu uang ma emaknya emaknya selera adek kakak nyicip rawan korupsi kelola fendor,Negatif
31/01/2025,youtube,@teguhmaulana1238,10,bahas si cahyadi deddy kokbuzzer,Negatif
31/01/2025,youtube,@adamyvon,1,menit bicara serius pas bahas deddy ikut tertawa,Negatif
31/01/2025,youtube,@untuksukrebaja1231,0,ajar kritis paham tanggap politik konten moga periode pikir rakyat indonesia baik timbang pilih presiden rakyat baik cerdas,Negatif
31/01/2025,youtube,@rogeroops6888,2,odgj puskesmas tenaga ahli surat rujuk obat rs,Positif
31/01/2025,youtube,@ryhan1060,1,makan gizi gratis jelek cenderung destruktif bpjs bilang potensi kena utak atik paksa dukung dana program analogi gin program a nilai program b nilai si mbg jelek doang nilai total nilai destruktif nilai potensi ngerusak program a nilai b total nilai turun analogi bangun rumah cicil kamar habis kamar mandi habis dapur siklus jalan anak gede kamar pikir nambah kamar emg sanggup bangun kamar bangun ngebangunnya mesti nyongkelin genteng kamar utama dapur bikin area situ bocor emg sanggup gausah ide sanggup tahan masuk backlog akuin program ambisius uncalculated sanggup gausah ceplos program unggul ngitung ngerepotin,Positif
31/01/2025,youtube,@createactive5771,0,nyapu saudara laki laki,Positif
31/01/2025,youtube,@riyalfaisalgaming4586,1,om botak semenjak perintah konyol teman jasa bantu,Negatif
31/01/2025,youtube,@MaelMedan,0,botak lancip ngebandingkan nasi kotak artis makan gratis anak sekolah wkwkwk peak botak masak nasi kotak artis harga ribu,Negatif
31/01/2025,youtube,@AndhyLikenliken,0,komika garing so kritis prestasi bangsa,Positif
31/01/2025,youtube,@Urahara-tl4rd,3,wkkw prestasi bangsa sebutin prestasi yah kritik perintah gaji pajak rakyat program perintah pajak komplain,Negatif
31/01/2025,youtube,@dragonlordplacidusax7806,0,apa sih bocah sok pinter cari perhati mulu,Negatif
01/02/2025,youtube,@AndhyLikenliken,0,urahara tl rd bodoh,Negatif
01/02/2025,youtube,@AndhyLikenliken,0,dragonlordplacidusax bodoh,Negatif
31/01/2025,youtube,@JalawiPendem,0,takut rakyat bingung garis mengritik bela sdm pungkiri kemarin pilih mohon maaf panji prabowo optimis bangun indonesia pesimis pegawai bawahanya kaya anti kritik,Negatif
31/01/2025,youtube,@costayoz3437,0,busett ketawa nular wkwkwk,Netral
31/01/2025,youtube,@vinzterlink,1,lihat deddy corbuzier banyak cari lawan banding inti kliatan dominan garang hatersnya backingan perawan livy singgung notabene cewek skrang makan siang serang anak sd,Negatif
31/01/2025,youtube,@mawarhitampoltekkes7374,0,deddy buzzeer kocak kemari julid aneh lucu,Negatif
31/01/2025,youtube,@adhiemqaulie6915,0,messi stunting,Positif
31/01/2025,youtube,@sundaywibs99,0,program mahal tengah banyak phk tanda industri manufaktur lesu alih bakar uang ngembangin industri ngabaisin uang makan gizi gizi program make sense perintah sengaja bikin rakyat gantung,Negatif
31/01/2025,youtube,@iwanisawesome,0,program mbg tolol mbg serentak rata gilir beda bpjs wajib partisipasi rakyat ikut bayar jelek bpjs bantu sakit sakit parah butuh biaya mbg siswa makan siang rumah anak kasih makan gizi tua tempe ayam tiren minimal sanggup kredit motor beli rokok kasih anak tua anjing selfish lebih baik judol rokok kenyangin ketimbang anak beda cerita program tolol kadung janji politik rakyat indonesia uang maksa dijalanin manfaat nol,Negatif
30/01/2025,youtube,@fadlithalib6477,0,ulas bernas tertawa poll kelompok masyarakat indonesia,Negatif
30/01/2025,youtube,@InayseChannel,1,panji males nonton podcast si botak cerdas pea beda pemerintagan kesetting,Negatif
30/01/2025,youtube,@raisomotoinc,0,program food estate gagal sumatera kalimantan habis uang hancur lahan hutan ratus hektar ngancurin lahan jt hektar papua food estate part tolol ji program,Negatif
30/01/2025,youtube,@CVXOfficial,1,bpjs cut loss kayak jenis sakit cover sakit parah,Negatif
30/01/2025,youtube,@jesslimitededition4687,0,funfact mesti paham bantu langsung tunai gun let me tell you survei mbr uang blt pakai dng manfaat dsb bilang temu terima bantu coba dipake beli rokok bangsat tuju bantu perintah langsung barang penuh butuh dasar sembilan bahan pokok dana bantu didik dipake tunjang sekolah bayar uang depo judol rokok anjing,Negatif
30/01/2025,youtube,@rizkylando2676,0,ketawa nular bangsat,Negatif
30/01/2025,youtube,@HamdaniBukanDony,0,tuju stuju alas desak sehat masyarakat masyarkat kelas miskin tengah dak jamin sehat bayar obat bpjs milih sakit cover bpjs sakit ku desak didik anak sekolah dana bos trbatas guru honor gaji benah sistem ajar sekolah kalah skolah swasta ku desak banding makan gratis korupsi,Negatif
30/01/2025,youtube,@paceasman,0,dc kosong podcast boikot nonton bikin habis pulsa,Negatif
30/01/2025,youtube,@seanattieh3234,0,si alhamdulillah bodoh akun hubung si botak muka asimetris model si cahyadi tenang idup mata cemar kuping bersih alhamdulillah,Positif
30/01/2025,youtube,@kumaracat4543,0,cakep release,Negatif
30/01/2025,youtube,@andipradana6921,0,anak sekolah makan biaya sekolah mahal program maju pendidika gratis ribet ngurusi menu jembut lainxa,Negatif
30/01/2025,youtube,@faiz6483,0,makan steak jutahahahahahha,Negatif
30/01/2025,youtube,@aasakti_,1,dukung anies tuju program hell salah program rela pajak eksekusi lancar capek lihat anak indonesia belakang gara sederhana gizi,Negatif
30/01/2025,youtube,@Loganapp,0,cremet ngabes muanah riah,Positif
30/01/2025,youtube,@PovaTec,0,miris makan gizi gratis makan salin keluarga puskesmas korupsi oknum kepala puskesmas klaim porsi hari porsi itu rutin,Negatif
30/01/2025,youtube,@fendipradana6598,0,racun engga kaget si budgetnya potong porsi vendor,Negatif
30/01/2025,youtube,@jerryprasetiana129,4,podcast dua gila,Negatif
03/02/2025,youtube,@muhammadmurdhani2382,0,wkkwkwk si muncul muka,Negatif
30/01/2025,youtube,@hamidi7284,0,makan siang gratis siswa januari laksana maksud makan siang gratis laku siswa anggar,Positif
